negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
129;0;0.002644964394710071;0.0001017293997965412;0.0;0.0005764665988470667;0.0;0.0011529331976941335;0.0;0.0008138351983723296;0.0;0.0029840623940318753;0.0;0.0004069175991861648;0.0;0.153125;0.0;0.3625;0.0;0.48125;0.0;0.2254799972154837;0.0;-0.037594803487546666;0.0;-0.0966225918355598;0.0;0.038461538461538464;0.0;0.4358974358974359;0.0;33;11.448804553305054;0.0;2207.081943897522;4250.0;33.980811729821866;-17.145262377272154;0.0
178;0;0.0001017293997965412;0.0005764665988470667;0.002644964394710071;0.0011529331976941335;0.0;0.003526619192946762;0.0;0.0029840623940318753;0.0008138351983723296;0.0004069175991861648;0.0;0.0025771447948457105;0.0;0.209375;0.153125;0.328125;0.0;0.478125;0.0;0.2263221914427905;0.2254799972154837;0.9134227157270656;0.0;0.035221543113491766;0.0;5.666666666666666;26.0;34.66666666666667;0.0;31;11.489882104331304;2.219314302602371;2142.69283790728;4062.5;33.525746892344394;-18.067125892689297;0.0
245;0;0.0005764665988470667;0.0011529331976941335;0.0001017293997965412;0.003526619192946762;0.002644964394710071;0.0018311291963377413;0.0;0.0004069175991861648;0.0029840623940318753;0.0025771447948457105;0.0008138351983723296;0.0022380467955239068;0.0;0.11875;0.209375;0.26875;0.3625;0.509375;0.0;0.3311004553078788;0.2263221914427905;0.8444869284277962;-0.037594803487546666;0.6771803851880205;0.0;2.0;0.17647058823529413;3.1764705882352944;0.0;33;11.410936410945585;0.0;2149.7251760881218;3875.0;33.554559291374424;-20.890536461737977;0.0
283;0;0.0011529331976941335;0.003526619192946762;0.0005764665988470667;0.0018311291963377413;0.0001017293997965412;0.0002373685995252628;0.002644964394710071;0.0025771447948457105;0.0004069175991861648;0.0022380467955239068;0.0029840623940318753;0.0025771447948457105;0.0008138351983723296;0.15;0.11875;0.390625;0.328125;0.54375;0.48125;0.013537130434588231;0.3311004553078788;0.8285653162877916;0.9134227157270656;0.3811328895184824;-0.0966225918355598;3.0588235294117654;0.5;0.2058823529411765;2.2941176470588243;31;11.467101657573636;1.2997542767688992;2048.8984969387666;3750.0;34.452250318985165;-18.231139871129404;0.0
331;0;0.003526619192946762;0.0018311291963377413;0.0011529331976941335;0.0002373685995252628;0.0005764665988470667;0.0027466937945066125;0.0001017293997965412;0.0022380467955239068;0.0025771447948457105;0.0025771447948457105;0.0004069175991861648;0.0006442861987114276;0.0029840623940318753;0.240625;0.15;0.39375;0.26875;0.55625;0.478125;0.636644244583881;0.013537130434588231;0.8167446820951716;0.8444869284277962;0.6684485932393536;0.035221543113491766;0.5192307692307692;0.3269230769230769;0.7788461538461539;0.028846153846153844;30;11.394765270901466;4.273962801348781;2146.787756246096;3875.0;34.89583960414835;-13.629160095724346;0.0
408;0;0.0018311291963377413;0.0002373685995252628;0.003526619192946762;0.0027466937945066125;0.0011529331976941335;0.0004069175991861648;0.0005764665988470667;0.0025771447948457105;0.0022380467955239068;0.0006442861987114276;0.0025771447948457105;0.002271956595456087;0.0004069175991861648;0.153125;0.240625;0.315625;0.390625;0.528125;0.509375;0.6246106703323993;0.636644244583881;0.9224358275254572;0.8285653162877916;0.2981854090115227;0.6771803851880205;0.12962962962962965;1.9259259259259265;0.22222222222222224;0.3148148148148148;26;11.603739675532436;0.8123815562001456;2072.7920041493962;3812.5;34.816742937279365;-17.16605234792118;0.0
457;0;0.0002373685995252628;0.0027466937945066125;0.0018311291963377413;0.0004069175991861648;0.003526619192946762;0.0016615801966768395;0.0011529331976941335;0.0006442861987114276;0.0025771447948457105;0.002271956595456087;0.0022380467955239068;0.000508646998982706;0.0025771447948457105;0.1625;0.153125;0.375;0.39375;0.625;0.54375;0.25540429783471763;0.6246106703323993;0.986580052837341;0.8167446820951716;-0.3891741998727856;0.3811328895184824;11.571428571428573;7.7142857142857135;6.999999999999999;4.857142857142857;23;11.16861143140768;12.168853887315832;2038.0450270062495;3531.25;33.8049410357692;-16.582030317712203;0.0
509;0;0.0027466937945066125;0.0004069175991861648;0.0002373685995252628;0.0016615801966768395;0.0018311291963377413;0.0014920311970159374;0.003526619192946762;0.002271956595456087;0.0006442861987114276;0.000508646998982706;0.0025771447948457105;0.002339776195320448;0.0022380467955239068;0.2125;0.1625;0.4625;0.315625;0.690625;0.55625;0.006478280848119386;0.25540429783471763;0.8254584354570345;0.9224358275254572;0.5634618519339896;0.6684485932393536;0.14814814814814814;0.08641975308641975;0.5432098765432097;1.2839506172839503;17;11.41212377077616;2.8379195614848767;1936.4364538998896;3656.25;34.52758632308628;-15.418152658676062;0.0
577;0;0.0004069175991861648;0.0016615801966768395;0.0027466937945066125;0.0014920311970159374;0.0002373685995252628;0.0009494743981010512;0.0018311291963377413;0.000508646998982706;0.002271956595456087;0.002339776195320448;0.0006442861987114276;6.781959986436079e-05;0.0025771447948457105;0.25;0.2125;0.478125;0.375;0.64375;0.528125;-0.4318207099698271;0.006478280848119386;0.9647213276020552;0.986580052837341;-0.6823303559176247;0.2981854090115227;4.083333333333333;6.750000000000001;2.333333333333333;4.499999999999999;21;11.036448541220844;10.575095530972282;2132.455904828877;3781.25;32.66769739936891;-18.15475075239496;0.0
657;0;0.0016615801966768395;0.0014920311970159374;0.0004069175991861648;0.0009494743981010512;0.0027466937945066125;0.0039674465920651065;0.0002373685995252628;0.002339776195320448;0.000508646998982706;6.781959986436079e-05;0.002271956595456087;0.0043404543913190905;0.0006442861987114276;0.228125;0.25;0.39375;0.4625;0.7625;0.625;-0.16649957507076166;-0.4318207099698271;0.9230621926000402;0.8254584354570345;0.4217370509311476;-0.3891741998727856;0.8979591836734694;0.2448979591836735;2.387755102040816;0.14285714285714288;29;11.624036324432714;3.8709089846500335;2324.136084618693;5187.5;34.413999617176906;-19.671714650295872;0.0
