negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
51;0;0.0045100033909799934;0.0061376737877246535;0.0;0.0021702271956595453;0.0;0.0004747371990505256;0.0;0.006476771787046457;0.0;0.002611054594777891;0.0;0.00254323499491353;0.0;0.565625;0.0;1.01875;0.0;1.409375;0.0;0.8286810134775795;0.0;0.7877519194077213;0.0;-0.4190169306808247;0.0;1.360902255639098;0.0;0.10526315789473684;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
232;0;0.0061376737877246535;0.0021702271956595453;0.0045100033909799934;0.0004747371990505256;0.0;0.0036622583926754827;0.0;0.002611054594777891;0.006476771787046457;0.00254323499491353;0.0;0.0007121057985757884;0.0;0.453125;0.565625;0.84375;0.0;1.034375;0.0;-0.2452914553737659;0.8286810134775795;-0.08888745021086125;0.0;0.8610845531376025;0.0;0.35359116022099435;0.734806629834254;0.596685082872928;0.0;32;8.854162683029063;0.0;2344.992592337623;5656.25;21.49370346622928;-15.711188712561972;0.0
377;0;0.0021702271956595453;0.0004747371990505256;0.0061376737877246535;0.0036622583926754827;0.0045100033909799934;0.0031875211936249572;0.0;0.00254323499491353;0.002611054594777891;0.0007121057985757884;0.006476771787046457;0.0012885723974228552;0.0;0.390625;0.453125;0.58125;1.01875;0.984375;0.0;0.2535281446624832;-0.2452914553737659;0.7858313430303129;0.7877519194077213;0.8984334476631658;0.0;0.21875000000000008;2.8281250000000013;1.46875;0.0;22;8.91637452950305;0.0;2720.6282062457353;6093.75;22.713559071249804;-18.31614453858728;0.0
502;0;0.0004747371990505256;0.0036622583926754827;0.0021702271956595453;0.0031875211936249572;0.0061376737877246535;0.001017293997965412;0.0045100033909799934;0.0007121057985757884;0.00254323499491353;0.0012885723974228552;0.002611054594777891;0.004136995591726009;0.006476771787046457;0.190625;0.390625;0.59375;0.84375;0.996875;1.409375;0.35675160872820383;0.2535281446624832;-0.12813803295191234;-0.08888745021086125;0.9963162904240466;-0.4190169306808247;7.7142857142857135;4.57142857142857;2.142857142857143;9.5;17;8.716013519531668;4.454976217402403;2863.5318120631623;6437.5;20.117369855348887;-20.584441200858482;0.0
563;0;0.0036622583926754827;0.0031875211936249572;0.0004747371990505256;0.001017293997965412;0.0021702271956595453;0.005391658189216685;0.0061376737877246535;0.0012885723974228552;0.0007121057985757884;0.004136995591726009;0.00254323499491353;0.0002034587995930824;0.002611054594777891;0.403125;0.190625;0.80625;0.58125;0.98125;1.034375;0.4510113787373979;0.35675160872820383;0.3966972465522032;0.7858313430303129;0.7857756079426107;0.8610845531376025;0.8703703703703703;0.12962962962962965;1.4722222222222232;1.6759259259259265;22;8.662907327008853;6.9080490689955365;2605.56685957622;6343.75;19.45396184823496;-18.70746347582801;0.0
692;0;0.0031875211936249572;0.001017293997965412;0.0036622583926754827;0.005391658189216685;0.0004747371990505256;0.0015937605968124786;0.0021702271956595453;0.004136995591726009;0.0012885723974228552;0.0002034587995930824;0.0007121057985757884;0.0005764665988470667;0.00254323499491353;0.403125;0.403125;0.578125;0.59375;0.796875;0.984375;-0.3261979464201468;0.4510113787373979;0.930113413066931;-0.12813803295191234;0.9879806492618158;0.8984334476631658;0.3191489361702128;1.1489361702127658;0.5;0.6808510638297872;21;9.050727094892443;8.855585302893644;2616.968882686566;5843.75;22.73162063293529;-17.914611157088203;0.0
821;0;0.001017293997965412;0.005391658189216685;0.0031875211936249572;0.0015937605968124786;0.0036622583926754827;0.003797897592404205;0.0004747371990505256;0.0002034587995930824;0.004136995591726009;0.0005764665988470667;0.0012885723974228552;0.0016276703967446592;0.0007121057985757884;0.175;0.403125;0.39375;0.80625;0.603125;0.996875;0.012593460357135535;-0.3261979464201468;-0.17100124036840678;0.3966972465522032;-0.265857851502137;0.9963162904240466;5.300000000000002;3.1333333333333333;3.733333333333333;0.4666666666666667;22;8.776801300575086;0.0;2657.377450930859;6218.75;21.83091268127389;-18.56826917201131;0.0
877;0;0.005391658189216685;0.0015937605968124786;0.001017293997965412;0.003797897592404205;0.0031875211936249572;0.0019328585961342828;0.0036622583926754827;0.0005764665988470667;0.0002034587995930824;0.0016276703967446592;0.004136995591726009;0.003933536792132928;0.0012885723974228552;0.21875;0.175;0.428125;0.578125;0.83125;0.98125;0.928427467395096;0.012593460357135535;0.9549500977676352;0.930113413066931;0.34319681326679;0.7857756079426107;0.29559748427672944;0.1886792452830188;0.3584905660377357;0.6792452830188676;29;9.059428038041863;9.698079536233877;2505.2705169359742;6093.75;22.16121981901705;-16.904306808384494;0.0
947;0;0.0015937605968124786;0.003797897592404205;0.005391658189216685;0.0019328585961342828;0.001017293997965412;0.004408273991183452;0.0031875211936249572;0.0016276703967446592;0.0005764665988470667;0.003933536792132928;0.0002034587995930824;0.0004408273991183452;0.004136995591726009;0.209375;0.21875;0.6125;0.39375;0.809375;0.796875;0.994714700333872;0.928427467395096;0.03018892840645368;-0.17100124036840678;0.06464189454866465;0.9879806492618158;2.382978723404256;3.3829787234042565;2.765957446808511;2.0;24;8.808948950520211;21.827971634670735;2432.716057483177;6031.25;21.009583707980205;-22.685941755290113;0.0
1014;0;0.003797897592404205;0.0019328585961342828;0.0015937605968124786;0.004408273991183452;0.005391658189216685;0.003696168192607664;0.001017293997965412;0.003933536792132928;0.0016276703967446592;0.0004408273991183452;0.0005764665988470667;0.002373685995252628;0.0002034587995930824;0.403125;0.209375;0.6;0.428125;1.003125;0.603125;0.036888282897788366;0.994714700333872;0.7552013282910622;0.9549500977676352;0.900902506727966;-0.265857851502137;0.5089285714285714;0.4196428571428571;0.9732142857142858;0.26785714285714285;17;8.79517489608595;0.0;2353.2283354870183;6031.25;21.305707545701715;-14.867452962247418;0.0
