negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
203;0;0.01603933536792133;0.015462868769074262;0.0;0.015022041369955916;0.0;0.01688708036622584;0.0;0.011664971176670058;0.0;0.014072566971854866;0.0;0.01797219396405561;0.0;1.0;0.0;2.0;0.0;3.0125;0.0;0.9798973650539596;0.0;0.9609096104905134;0.0;0.9888643608116704;0.0;0.964059196617336;0.0;1.0528541226215644;0.0;0;9.63837549267617;0.0;895.5065444064055;2250.0;27.33862327239057;-13.43108634537878;0.0
523;0;0.015462868769074262;0.015022041369955916;0.01603933536792133;0.01688708036622584;0.0;0.012343167175313663;0.0;0.014072566971854866;0.011664971176670058;0.01797219396405561;0.0;0.014004747371990506;0.0;1.0;1.0;2.0125;0.0;3.009375;0.0;0.9944872673437388;0.9798973650539596;0.9848712517641208;0.0;0.997548181553552;0.0;0.9714912280701754;1.037280701754386;0.7982456140350875;0.0;0;9.449534066923393;0.0;830.4950588780556;1875.0;26.86016044896553;-10.798758810707989;0.0
843;0;0.015022041369955916;0.01688708036622584;0.015462868769074262;0.012343167175313663;0.01603933536792133;0.015598507968802985;0.0;0.01797219396405561;0.014072566971854866;0.014004747371990506;0.011664971176670058;0.015734147168531706;0.0;1.0125;1.0;2.009375;2.0;3.0125;0.0;0.9723122935719888;0.9944872673437388;0.9967116064029758;0.9609096104905134;0.9752029874575208;0.0;1.124153498871332;1.0293453724604966;1.0383747178329572;0.0;0;9.62609065656273;0.0;910.9888331842436;2593.75;29.12884805791129;-10.795884081875476;0.0
1167;0;0.01688708036622584;0.012343167175313663;0.015022041369955916;0.015598507968802985;0.015462868769074262;0.017700915564598168;0.01603933536792133;0.014004747371990506;0.01797219396405561;0.015734147168531706;0.014072566971854866;0.012207527975584944;0.011664971176670058;0.996875;1.0125;2.0;2.0125;3.003125;3.0125;0.9817302469079592;0.9723122935719888;0.9965385548681645;0.9848712517641208;0.9934892860063016;0.9888643608116704;0.7309236947791163;0.8895582329317269;1.0481927710843373;0.9497991967871486;0;9.572606128883477;0.0;886.1414777966218;2125.0;27.60091571120541;-13.020137903513104;0.0
1486;0;0.012343167175313663;0.015598507968802985;0.01688708036622584;0.017700915564598168;0.015022041369955916;0.014208206171583587;0.015462868769074262;0.015734147168531706;0.014004747371990506;0.012207527975584944;0.01797219396405561;0.011461512377076977;0.014072566971854866;1.003125;0.996875;2.00625;2.009375;3.003125;3.009375;0.986475917728318;0.9817302469079592;0.9937069044235376;0.9967116064029758;0.9922935026311508;0.997548181553552;1.263736263736264;1.3681318681318684;1.1510989010989012;1.252747252747253;0;9.623452372258539;0.0;881.2558892045274;2531.25;27.512799853686925;-13.534409828007064;0.0
1807;0;0.015598507968802985;0.017700915564598168;0.012343167175313663;0.014208206171583587;0.01688708036622584;0.01024075957951848;0.015022041369955916;0.012207527975584944;0.015734147168531706;0.011461512377076977;0.014004747371990506;0.012851814174296372;0.01797219396405561;1.003125;1.003125;2.0;2.0;2.99375;3.0125;0.993135868311957;0.986475917728318;0.9959456475303436;0.9965385548681645;0.9812967883056424;0.9752029874575208;1.134782608695652;0.7913043478260867;0.6565217391304348;0.9630434782608694;0;9.318025971635187;0.0;819.9678346494569;1750.0;27.3715759079898;-9.057578078700187;0.0
2128;0;0.017700915564598168;0.014208206171583587;0.015598507968802985;0.01024075957951848;0.012343167175313663;0.01797219396405561;0.01688708036622584;0.011461512377076977;0.012207527975584944;0.012851814174296372;0.015734147168531706;0.015632417768735158;0.014004747371990506;0.996875;1.003125;1.990625;2.00625;2.99375;3.003125;0.9954099422618063;0.993135868311957;0.9857530032631744;0.9937069044235376;0.9953085440346918;0.9934892860063016;0.8026819923371648;0.8812260536398469;1.0153256704980842;0.9540229885057472;0;9.354268266368297;0.0;931.7159041649243;2625.0;26.54946339204316;-12.829430949936174;0.0
2447;0;0.014208206171583587;0.01024075957951848;0.017700915564598168;0.01797219396405561;0.015598507968802985;0.0169548999660902;0.012343167175313663;0.012851814174296372;0.011461512377076977;0.015632417768735158;0.012207527975584944;0.012783994574432007;0.015734147168531706;0.99375;0.996875;1.996875;2.0;2.996875;3.003125;0.9910400855719278;0.9954099422618063;0.9933236081452728;0.9959456475303436;0.9876770471857532;0.9922935026311508;0.7207637231503579;1.2458233890214798;1.1933174224343677;0.8687350835322194;0;9.603894923193378;0.0;923.0310570920726;2843.75;27.632618432591585;-14.0715792180591;0.0
2765;0;0.01024075957951848;0.01797219396405561;0.014208206171583587;0.0169548999660902;0.017700915564598168;0.015666327568667347;0.015598507968802985;0.015632417768735158;0.012851814174296372;0.012783994574432007;0.011461512377076977;0.015666327568667347;0.012207527975584944;1.003125;0.99375;2.003125;1.990625;3.015625;2.99375;0.9824955532379837;0.9910400855719278;0.9914251590868168;0.9857530032631744;0.9933016944446702;0.9812967883056424;1.7549668874172184;1.3874172185430464;1.5298013245033115;1.5231788079470199;0;9.714486511915087;0.0;759.6591563609178;1625.0;29.172518748780107;-11.864097550900807;0.0
3086;0;0.01797219396405561;0.0169548999660902;0.01024075957951848;0.015666327568667347;0.014208206171583587;0.011427602577144794;0.017700915564598168;0.012783994574432007;0.015632417768735158;0.015666327568667347;0.012851814174296372;0.017158358765683283;0.011461512377076977;1.0;1.003125;2.0125;1.996875;3.015625;2.99375;0.988962317819071;0.9824955532379837;0.9894770003472227;0.9933236081452728;0.9905372218842616;0.9953085440346918;0.9433962264150944;0.5698113207547171;0.6358490566037736;0.9849056603773584;0;9.627681803922933;0.0;885.8896103199146;2375.0;27.70202243117194;-12.461398302414644;0.0
3406;0;0.0169548999660902;0.015666327568667347;0.01797219396405561;0.011427602577144794;0.01024075957951848;0.016547982366904034;0.014208206171583587;0.015666327568667347;0.012783994574432007;0.017158358765683283;0.015632417768735158;0.013699559172600882;0.012851814174296372;1.0125;1.0;2.015625;2.003125;3.021875;2.996875;0.9978192446583;0.988962317819071;0.9693226027667944;0.9914251590868168;0.9909140601204364;0.9876770471857532;0.9240000000000002;1.0599999999999998;0.976;0.838;0;9.630549622568108;0.0;873.7708812849602;2156.25;27.556775839645592;-11.569641761425116;0.0
3730;0;0.015666327568667347;0.011427602577144794;0.0169548999660902;0.016547982366904034;0.01797219396405561;0.016514072566971856;0.01024075957951848;0.017158358765683283;0.015666327568667347;0.013699559172600882;0.012783994574432007;0.013699559172600882;0.015632417768735158;1.003125;1.0125;2.009375;2.0125;3.01875;3.015625;0.9730215963341974;0.9978192446583;0.9968089709690836;0.9894770003472227;0.9903882461749848;0.9933016944446702;0.7294372294372293;1.082251082251082;1.054112554112554;0.6536796536796535;0;9.637941188542056;0.0;877.8315854151633;2531.25;27.343800440485285;-14.863760453233088;0.0
4051;0;0.011427602577144794;0.016547982366904034;0.015666327568667347;0.016514072566971856;0.0169548999660902;0.014004747371990506;0.01797219396405561;0.013699559172600882;0.017158358765683283;0.013699559172600882;0.015666327568667347;0.010817226178365549;0.012783994574432007;1.00625;1.003125;2.015625;2.015625;2.996875;3.015625;0.9762547008572464;0.9730215963341974;0.9877181903646493;0.9693226027667944;0.9559410990924168;0.9905372218842616;1.4480712166172107;1.3709198813056382;1.225519287833828;1.5727002967359052;0;9.853952814185199;0.0;865.8228452987396;2281.25;28.655773121110787;-15.033199520190161;0.0
